"CYCLE_DAY.YEAR_ID","CYCLE_DAY.SCHOOLID","CYCLE_DAY.LETTER","CYCLE_DAY.DAY_NUMBER","CYCLE_DAY.DAY_NAME","CYCLE_DAY.DATE_VALUE"
"31","3","A","1","A1","2021-08-20"
"31","3","B","2","B1","2021-08-23"
"31","3","C","3","A2","2021-08-24"
"31","3","D","4","B2","2021-08-25"
"31","3","E","5","A3","2021-08-26"
"31","3","F","6","B3","2021-08-27"
"31","3","G","7","A4","2021-08-30"
"31","3","H","8","B4","2021-08-31"
"31","3","A","1","A1","2021-09-01"
"31","3","B","2","B1","2021-09-02"
"31","3","C","3","A2","2021-09-03"
"31","3","D","4","B2","2021-09-06"
"31","3","E","5","A3","2021-09-07"
"31","3","F","6","B3","2021-09-08"
"31","3","G","7","A4","2021-09-09"
"31","3","H","8","B4","2021-09-10"
"31","3","A","1","A1","2021-09-13"
"31","3","B","2","B1","2021-09-14"
"31","3","C","3","A2","2021-09-15"
"31","3","D","4","B2","2021-09-16"
"31","3","E","5","A3","2021-09-17"
"31","3","F","6","B3","2021-09-20"
"31","3","G","7","A4","2021-09-21"
"31","3","H","8","B4","2021-09-23"
"31","3","A","1","A1","2021-09-24"
"31","3","B","2","B1","2021-09-27"
"31","3","C","3","A2","2021-09-28"
"31","3","D","4","B2","2021-09-29"
"31","3","E","5","A3","2021-09-30"
"31","3","F","6","B3","2021-10-04"
"31","3","G","7","A4","2021-10-05"
"31","3","H","8","B4","2021-10-06"
"31","3","A","1","A1","2021-10-07"
"31","3","B","2","B1","2021-10-08"
"31","3","F","6","B3","2021-10-18"
"31","3","G","7","A4","2021-10-19"
"31","3","H","8","B4","2021-10-20"
"31","3","A","1","A1","2021-10-21"
"31","3","B","2","B1","2021-10-22"
"31","3","C","3","A2","2021-10-25"
"31","3","D","4","B2","2021-10-26"
"31","3","E","5","A3","2021-10-27"
"31","3","F","6","B3","2021-10-28"
"31","3","G","7","A4","2021-10-29"
"31","3","H","8","B4","2021-11-01"
"31","3","A","1","A1","2021-11-02"
"31","3","B","2","B1","2021-11-03"
"31","3","C","3","A2","2021-11-04"
"31","3","D","4","B2","2021-11-05"
"31","3","E","5","A3","2021-11-08"
"31","3","F","6","B3","2021-11-09"
"31","3","G","7","A4","2021-11-10"
"31","3","H","8","B4","2021-11-11"
"31","3","A","1","A1","2021-11-16"
"31","3","B","2","B1","2021-11-17"
"31","3","C","3","A2","2021-11-18"
"31","3","D","4","B2","2021-11-19"
"31","3","E","5","A3","2021-11-22"
"31","3","F","6","B3","2021-11-23"
"31","3","G","7","A4","2021-11-24"
"31","3","H","8","B4","2021-11-25"
"31","3","A","1","A1","2021-11-26"
"31","3","B","2","B1","2021-11-29"
"31","3","C","3","A2","2021-11-30"
"31","3","D","4","B2","2021-12-01"
"31","3","E","5","A3","2021-12-02"
"31","3","F","6","B3","2021-12-03"
"31","3","G","7","A4","2021-12-06"
"31","3","H","8","B4","2021-12-07"
"31","3","A","1","A1","2021-12-08"
"31","3","B","2","B1","2021-12-09"
"31","3","C","3","A2","2021-12-10"
"31","3","D","4","B2","2021-12-13"
"31","3","E","5","A3","2021-12-14"
"31","3","F","6","B3","2021-12-15"
"31","3","G","7","A4","2021-12-16"
"31","3","H","8","B4","2021-12-17"
"31","3","B","2","B1","2022-01-03"
"31","3","A","1","A1","2022-01-04"
"31","3","D","4","B2","2022-01-05"
"31","3","C","3","A2","2022-01-06"
"31","3","F","6","B3","2022-01-07"
"31","3","A","1","A1","2022-01-10"
"31","3","B","2","B1","2022-01-11"
"31","3","C","3","A2","2022-01-12"
"31","3","D","4","B2","2022-01-13"
"31","3","E","5","A3","2022-01-14"
"31","3","F","6","B3","2022-01-17"
"31","3","G","7","A4","2022-01-18"
"31","3","H","8","B4","2022-01-19"
"31","3","A","1","A1","2022-01-20"
"31","3","B","2","B1","2022-01-21"
"31","3","C","3","A2","2022-01-24"
"31","3","D","4","B2","2022-01-25"
"31","3","E","5","A3","2022-01-26"
"31","3","F","6","B3","2022-01-27"
"31","3","G","7","A4","2022-01-28"
"31","3","E","5","A3","2022-02-08"
"31","3","H","8","B4","2022-02-09"
"31","3","G","7","A4","2022-02-10"
"31","3","B","2","B1","2022-02-11"
"31","3","A","1","A1","2022-02-14"
"31","3","H","8","B4","2022-02-15"
