"CYCLE_DAY.YEAR_ID","CYCLE_DAY.SCHOOLID","CYCLE_DAY.LETTER","CYCLE_DAY.DAY_NUMBER","CYCLE_DAY.DAY_NAME","CYCLE_DAY.DATE_VALUE"
"32","3","A","1","A1","2022-08-22"
"32","3","B","2","B1","2022-08-23"
"32","3","C","3","A2","2022-08-24"
"32","3","D","4","B2","2022-08-25"
"32","3","E","5","A3","2022-08-26"
"32","3","F","6","B3","2022-08-29"
"32","3","G","7","A4","2022-08-30"
"32","3","H","8","B4","2022-08-31"
"32","3","A","1","A1","2022-09-01"
"32","3","B","2","B1","2022-09-05"
"32","3","C","3","A2","2022-09-06"
"32","3","D","4","B2","2022-09-07"
"32","3","E","5","A3","2022-09-08"
"32","3","F","6","B3","2022-09-09"
"32","3","G","7","A4","2022-09-13"
"32","3","H","8","B4","2022-09-14"
"32","3","A","1","A1","2022-09-15"
"32","3","B","2","B1","2022-09-16"
"32","3","C","3","A2","2022-09-19"
"32","3","D","4","B2","2022-09-20"
"32","3","E","5","A3","2022-09-21"
"32","3","F","6","B3","2022-09-22"
"32","3","G","7","A4","2022-09-26"
"32","3","H","8","B4","2022-09-27"
"32","3","A","1","A1","2022-09-28"
"32","3","B","2","B1","2022-09-29"
"32","3","C","3","A2","2022-09-30"
"32","3","D","4","B2","2022-10-03"
"32","3","E","5","A3","2022-10-05"
"32","3","F","6","B3","2022-10-06"
"32","3","G","7","A4","2022-10-07"
"32","3","H","8","B4","2022-10-24"
"32","3","A","1","A1","2022-10-25"
"32","3","B","2","B1","2022-10-26"
"32","3","C","3","A2","2022-10-27"
"32","3","D","4","B2","2022-10-28"
"32","3","E","5","A3","2022-10-31"
"32","3","F","6","B3","2022-11-01"
"32","3","G","7","A4","2022-11-02"
"32","3","H","8","B4","2022-11-03"
"32","3","A","1","A1","2022-11-04"
"32","3","B","2","B1","2022-11-07"
"32","3","C","3","A2","2022-11-08"
"32","3","D","4","B2","2022-11-09"
"32","3","E","5","A3","2022-11-10"
"32","3","F","6","B3","2022-11-15"
"32","3","G","7","A4","2022-11-16"
"32","3","H","8","B4","2022-11-17"
"32","3","A","1","A1","2022-11-18"
"32","3","B","2","B1","2022-11-21"
"32","3","C","3","A2","2022-11-22"
"32","3","D","4","B2","2022-11-23"
"32","3","E","5","A3","2022-11-24"
"32","3","F","6","B3","2022-11-25"
"32","3","G","7","A4","2022-11-28"
"32","3","H","8","B4","2022-11-29"
"32","3","A","1","A1","2022-11-30"
"32","3","B","2","B1","2022-12-01"
"32","3","C","3","A2","2022-12-05"
"32","3","D","4","B2","2022-12-06"
"32","3","E","5","A3","2022-12-07"
"32","3","F","6","B3","2022-12-08"
"32","3","G","7","A4","2022-12-09"
"32","3","H","8","B4","2022-12-12"
"32","3","A","1","A1","2022-12-13"
"32","3","B","2","B1","2022-12-14"
"32","3","C","3","A2","2022-12-15"
"32","3","D","4","B2","2022-12-16"
"32","3","E","5","A3","2023-01-03"
"32","3","F","6","B3","2023-01-04"
"32","3","G","7","A4","2023-01-05"
"32","3","H","8","B4","2023-01-06"
"32","3","A","1","A1","2023-01-09"
"32","3","B","2","B1","2023-01-10"
"32","3","C","3","A2","2023-01-11"
